Date,gm_cap,tesla_cap
2013-04-23,35.55029302077601,6.07019
2013-04-24,36.26487177496175,6.00117
2013-04-25,36.574522568442326,6.188
2013-04-26,36.32442000447746,6.0928
2013-04-29,36.669799735668306,6.53786
2013-04-30,36.72934796518401,6.42481
2013-05-01,35.943311335577754,6.34032
2013-05-02,37.110456634082325,6.43909
2013-05-03,38.229963348974614,6.49145
2013-05-06,37.8964932636872,7.0805
2013-05-07,37.694029283334615,6.60569
2013-05-08,38.206144057169176,6.6385935
2013-05-09,37.694029283334615,8.258600000000001
2013-05-10,37.42010742756291,9.134916
2013-05-13,36.91990229963317,10.4482
2013-05-14,37.57493282430459,9.90556
2013-05-15,38.480065912939494,10.096198
2013-05-16,38.57534308016546,10.977512
2013-05-17,39.802036608185745,10.8885
2013-05-20,40.135506693471775,10.70286
2013-05-21,39.778217316378914,10.42321
2013-05-22,39.57575333602633,10.38156
2013-05-23,39.12318679170749,11.03487
2013-05-24,39.14700608351433,11.55252
2013-05-28,40.44515748695236,13.129746
2013-05-29,40.552344300080364,12.450851
2013-05-30,41.25501340836407,12.48905
2013-05-31,40.3617899656312,11.63344
2013-06-03,40.99300119849578,11.01821
2013-06-04,41.63612207726378,11.28596
2013-06-05,40.51661536237149,11.34903
2013-06-06,41.01682049030262,11.58465
2013-06-07,41.71948959858494,12.14276
2013-06-10,41.37410986739549,11.90595
2013-06-11,40.40942854924349,11.24193
2013-06-12,39.83776554589462,11.62987
2013-06-13,41.08827836572036,11.68342
2013-06-14,40.83817580175548,11.9357
2013-06-17,40.17123563118204,12.1618
2013-06-18,40.504705716468074,12.30341
2013-06-19,40.08786810985949,12.45692
2013-06-20,38.77780706051804,11.97735
2013-06-21,38.36096945390946,11.84645
2013-06-24,37.42010742756291,12.07731
2013-06-25,37.8964932636872,12.1856
2013-06-26,38.76589741461462,12.58068
2013-06-27,39.42092793928604,13.00075
2013-06-28,39.67103050325091,12.77584
2013-07-01,40.49279607056465,13.944301
2013-07-02,40.61189252959607,14.02058
2013-07-03,40.65953111320836,13.71356
2013-07-05,41.29074234607294,14.29071
2013-07-08,41.25501340836407,14.47159
2013-07-09,41.58848349365149,14.69055
2013-07-10,42.0767789756792,14.55013
2013-07-11,43.041460293829815,14.94759
2013-07-12,43.351111087311786,15.4581
2013-07-15,43.47020754634181,15.14394
2013-07-16,43.0890988774421,12.97695
2013-07-17,43.3034725036981,14.30975
2013-07-18,43.875135507048356,14.16457
2013-07-19,43.60121365127665,14.24192
2013-07-22,43.77985833982239,14.56917
2013-07-23,43.60121365127665,14.60606
2013-07-24,44.232424884141224,14.4823
2013-07-25,44.160967008722096,14.76433
2013-07-26,43.67267152669439,15.397409999999999
2013-07-29,43.327291795504934,16.01978
2013-07-30,43.47020754634181,15.677060000000003
2013-07-31,42.719899854445806,15.97932
2013-08-01,43.43447860863294,16.130450000000003
2013-08-02,44.00614161198181,16.422
